,stname,ctyname,confirmed_cases,deaths,population,days,avearge_case,populationdensity,toppest_ethnicity,second_ethnicity,third_ethnicity,toppest_age_group,second_age_group,third_age_group,fourth_age_group,target_rank
64,Alabama,Washington County,15,1,17581,58,1.4710237737055483,1_Very Low,White,Black,Indian,Middle Adult,Young Adult,Children,Senior,High
65,Alabama,Wilcox County,45,0,11670,63,6.120700208103807,1_Very Low,Black,White,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
66,Alabama,Winston County,9,0,24484,65,0.56551845475224,1_Very Low,White,Hispanic,Black,Middle Adult,Young Adult,Children,Senior,Medium
67,Alaska,Aleutians East Borough,0,0,3141,88,0.0,1_Very Low,Asian,Indian,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
68,Alaska,Aleutians West Census Area,0,0,5561,88,0.0,1_Very Low,Asian,White,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
69,Alaska,Anchorage Municipality,151,4,291826,52,0.9950608081000849,2_Low,White,Asian,Hispanic,Young Adult,Children,Middle Adult,Senior,High
70,Alaska,Bethel Census Area,1,0,17013,76,0.07734023826980607,1_Very Low,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_Low
71,Alaska,Bristol Bay Borough,0,0,997,88,0.0,1_Very Low,White,Indian,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
72,Alaska,Denali Borough,0,0,1826,88,0.0,1_Very Low,White,Asian,Indian,Young Adult,Middle Adult,Children,Senior,Very_Low
73,Alaska,Dillingham Census Area,0,0,4847,88,0.0,1_Very Low,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_Low
74,Alaska,Fairbanks North Star Borough,79,1,97581,55,1.4719706053059882,1_Very Low,White,Hispanic,Indian,Young Adult,Children,Middle Adult,Senior,High
75,Alaska,Haines Borough,0,0,2508,88,0.0,1_Very Low,White,Indian,Hispanic,Middle Adult,Young Adult,Senior,Children,Very_Low
76,Alaska,Hoonah-Angoon Census Area,0,0,2150,88,0.0,Very_High,White,Indian,Hispanic,Middle Adult,Young Adult,Senior,Children,Very_Low
77,Alaska,Juneau City and Borough,24,0,31275,61,1.2580099854542595,1_Very Low,White,Indian,Asian,Young Adult,Middle Adult,Children,Senior,High
78,Alaska,Kenai Peninsula Borough,19,0,55400,61,0.562229981653548,1_Very Low,White,Indian,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
79,Alaska,Ketchikan Gateway Borough,15,0,13477,57,1.9526444664008467,1_Very Low,White,Indian,Asian,Young Adult,Middle Adult,Children,Senior,Very_High
80,Alaska,Kodiak Island Borough,1,0,13592,85,0.0865561056676938,1_Very Low,White,Asian,Indian,Young Adult,Children,Middle Adult,Senior,Very_Low
81,Alaska,Kusilvak Census Area,0,0,7459,88,0.0,Very_High,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_Low
82,Alaska,Lake and Peninsula Borough,0,0,1631,88,0.0,1_Very Low,Indian,White,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_Low
83,Alaska,Matanuska-Susitna Borough,17,0,88995,66,0.28942722352464473,1_Very Low,White,Indian,Hispanic,Young Adult,Children,Middle Adult,Senior,Low
84,Alaska,Nome Census Area,1,0,9492,84,0.12541889912307105,1_Very Low,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_Low
85,Alaska,North Slope Borough,0,0,9430,88,0.0,1_Very Low,Indian,White,Asian,Young Adult,Middle Adult,Children,Senior,Very_Low
86,Alaska,Northwest Arctic Borough,0,0,7523,88,0.0,1_Very Low,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_Low
87,Alaska,Petersburg Borough,2,0,3815,72,0.72811999417504,Very_High,White,Indian,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
88,Alaska,Prince of Wales-Hyder Census Area,2,0,5559,80,0.4497211728728189,1_Very Low,White,Indian,Hispanic,Middle Adult,Young Adult,Children,Senior,Medium
89,Alaska,Sitka City and Borough,0,0,8881,88,0.0,1_Very Low,White,Indian,Asian,Young Adult,Middle Adult,Children,Senior,Very_Low
90,Alaska,Skagway Municipality,0,0,968,88,0.0,1_Very Low,White,Hispanic,Indian,Young Adult,Middle Adult,Children,Senior,Very_Low
91,Alaska,Southeast Fairbanks Census Area,1,0,7029,72,0.19759409430770933,1_Very Low,White,Indian,Hispanic,Young Adult,Children,Middle Adult,Senior,Low
92,Alaska,Valdez-Cordova Census Area,0,0,9636,88,0.0,1_Very Low,White,Indian,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
93,Alaska,Wrangell City and Borough,0,0,2369,88,0.0,1_Very Low,White,Indian,Asian,Middle Adult,Young Adult,Children,Senior,Very_Low
94,Alaska,Yakutat City and Borough,0,0,662,88,0.0,1_Very Low,Indian,White,Asian,Middle Adult,Young Adult,Senior,Children,Very_Low
95,Alaska,Yukon-Koyukuk Census Area,1,0,5588,72,0.2485484768949336,1_Very Low,Indian,White,Hispanic,Young Adult,Children,Middle Adult,Senior,Low
96,Arizona,Apache County,169,4,71518,59,4.005155037418575,1_Very Low,Indian,White,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
97,Arizona,Cochise County,22,0,131346,58,0.2887871308053433,1_Very Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Low
98,Arizona,Coconino County,314,29,134421,57,4.098148302590043,1_Very Low,White,Indian,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
99,Arizona,Gila County,7,0,53597,66,0.19788534071049885,1_Very Low,White,Hispanic,Indian,Senior,Middle Adult,Young Adult,Children,Low
100,Arizona,Graham County,2,0,37220,52,0.10333567560864713,1_Very Low,White,Hispanic,Indian,Young Adult,Children,Middle Adult,Senior,Very_Low
101,Arizona,Greenlee County,2,0,8437,68,0.34860453604222297,1_Very Low,Hispanic,White,Indian,Young Adult,Children,Middle Adult,Senior,Low
102,Arizona,La Paz County,5,1,20489,64,0.38130216213578016,1_Very Low,White,Hispanic,Indian,Senior,Young Adult,Middle Adult,Children,Low
103,Arizona,Maricopa County,2491,70,3817117,4,16.314668898019107,3_Medium,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Very_High
104,Arizona,Mohave County,52,1,200186,64,0.40587253853915856,1_Very Low,White,Hispanic,Indian,Senior,Middle Adult,Young Adult,Children,Low
105,Arizona,Navajo County,452,11,107449,55,7.648448862420142,1_Very Low,Indian,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Very_High
106,Arizona,Pima County,856,56,980263,48,1.8192396666336823,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,High
107,Arizona,Pinal County,235,6,375770,45,1.3897389951891377,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,High
108,Arizona,Santa Cruz County,16,0,47420,58,0.5817420264983493,1_Very Low,Hispanic,White,Asian,Children,Young Adult,Middle Adult,Senior,Medium
109,Arizona,Yavapai County,72,1,211033,58,0.5882394271724458,1_Very Low,White,Hispanic,Indian,Senior,Middle Adult,Young Adult,Children,Medium
110,Arizona,Yuma County,29,1,195751,58,0.2554265367737585,1_Very Low,Hispanic,White,Black,Young Adult,Children,Middle Adult,Senior,Low
111,Arkansas,Arkansas County,2,0,19019,68,0.1546441174924147,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Low
112,Arkansas,Ashley County,11,0,21853,67,0.7512886307491509,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
113,Arkansas,Baxter County,5,0,41513,66,0.1824912093984433,2_Low,White,Hispanic,Indian,Senior,Middle Adult,Young Adult,Children,Low
114,Arkansas,Benton County,62,0,221339,60,0.4668555172533233,3_Medium,White,Hispanic,Asian,Young Adult,Children,Middle Adult,Senior,Medium
115,Arkansas,Boone County,3,0,36903,60,0.1354903395387909,2_Low,White,Hispanic,Indian,Young Adult,Middle Adult,Children,Senior,Very_Low
116,Arkansas,Bradley County,7,0,11508,60,1.013787510137875,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
117,Arkansas,Calhoun County,0,0,5368,88,0.0,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Senior,Children,Very_Low
118,Arkansas,Carroll County,2,0,27446,71,0.10263431496213307,2_Low,White,Hispanic,Asian,Middle Adult,Young Adult,Children,Senior,Very_Low
119,Arkansas,Chicot County,7,0,11800,65,0.9126466753585398,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,High
120,Arkansas,Clark County,27,0,22995,60,1.9569471624266144,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
121,Arkansas,Clay County,1,0,16083,76,0.08181244007238765,1_Very Low,White,Hispanic,Black,Young Adult,Middle Adult,Children,Senior,Very_Low
122,Arkansas,Cleburne County,70,4,25970,60,4.492362982929021,2_Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Very_High
123,Arkansas,Cleveland County,8,0,8689,61,1.5093513751134373,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,High
124,Arkansas,Columbia County,4,0,24552,60,0.2715325295970457,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Low
125,Arkansas,Conway County,5,1,21273,60,0.39173286952161585,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Low
126,Arkansas,Craighead County,42,1,96443,60,0.725817322148834,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Medium
127,Arkansas,Crawford County,4,0,61948,61,0.10585292582779635,2_Low,White,Hispanic,Indian,Young Adult,Children,Middle Adult,Senior,Very_Low
128,Arkansas,Crittenden County,133,4,50902,60,4.354773224365775,2_Low,Black,White,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
129,Arkansas,Cross County,8,0,17870,62,0.722060761413073,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
130,Arkansas,Dallas County,1,0,8116,75,0.1642845408247084,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Low
131,Arkansas,Desha County,6,0,13008,61,0.7561551025346318,1_Very Low,Black,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Medium
132,Arkansas,Drew County,6,1,18509,64,0.5065103463180075,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Medium
133,Arkansas,Faulkner County,60,2,113237,60,0.8831035792188066,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
134,Arkansas,Franklin County,1,0,18125,76,0.07259528130671507,1_Very Low,White,Hispanic,Indian,Young Adult,Middle Adult,Children,Senior,Very_Low
135,Arkansas,Fulton County,0,0,12245,88,0.0,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Very_Low
136,Arkansas,Garland County,106,0,96024,60,1.839817823321947,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Senior,Children,High
137,Arkansas,Grant County,11,0,17853,60,1.0269049086054631,1_Very Low,White,Hispanic,Black,Young Adult,Middle Adult,Children,Senior,High
138,Arkansas,Greene County,9,0,42090,60,0.3563791874554526,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Low
139,Arkansas,Hempstead County,4,1,22609,62,0.2853559601586009,1_Very Low,White,Black,Hispanic,Children,Young Adult,Middle Adult,Senior,Low
140,Arkansas,Hot Spring County,8,0,32923,63,0.38570035228905925,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Low
141,Arkansas,Howard County,12,0,13789,66,1.3185740939747757,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
142,Arkansas,Independence County,7,0,36647,60,0.3183525709244049,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Low
143,Arkansas,Izard County,2,0,13696,76,0.19214215445154945,1_Very Low,White,Hispanic,Black,Middle Adult,Young Adult,Senior,Children,Low
144,Arkansas,Jackson County,1,0,17997,83,0.06694556187744811,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
145,Arkansas,Jefferson County,114,6,77435,52,2.8311586392557526,2_Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
146,Arkansas,Johnson County,21,0,25540,66,1.2458176123015592,1_Very Low,White,Hispanic,Asian,Young Adult,Children,Middle Adult,Senior,High
147,Arkansas,Lafayette County,4,0,7645,73,0.7167366978148489,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Senior,Children,Medium
148,Arkansas,Lawrence County,25,1,17415,61,2.3533509363983374,1_Very Low,White,Hispanic,Black,Young Adult,Middle Adult,Children,Senior,Very_High
149,Arkansas,Lee County,3,1,10424,71,0.4053484375168895,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,Low
150,Arkansas,Lincoln County,110,0,14134,61,12.75844551099894,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
151,Arkansas,Little River County,0,0,13171,88,0.0,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_Low
152,Arkansas,Logan County,3,0,22353,76,0.17659233306726754,1_Very Low,White,Hispanic,Asian,Middle Adult,Young Adult,Children,Senior,Low
153,Arkansas,Lonoke County,30,0,68356,64,0.6857481420797004,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Medium
154,Arkansas,Madison County,1,0,15717,78,0.0815709920500911,1_Very Low,White,Hispanic,Indian,Young Adult,Middle Adult,Children,Senior,Very_Low
155,Arkansas,Marion County,1,0,16653,80,0.07506155047138653,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Very_Low
156,Arkansas,Miller County,29,0,43462,70,0.9532136447602831,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
157,Arkansas,Mississippi County,8,0,46480,72,0.23905144387072097,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Low
158,Arkansas,Monroe County,2,0,8149,72,0.3408734541388855,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Senior,Children,Low
159,Arkansas,Montgomery County,0,0,9487,88,0.0,1_Very Low,White,Hispanic,Asian,Middle Adult,Senior,Young Adult,Children,Very_Low
160,Arkansas,Nevada County,1,0,8997,67,0.16589277686260262,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Low
161,Arkansas,Newton County,2,0,8330,69,0.34796527306574804,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Low
162,Arkansas,Ouachita County,5,0,26120,73,0.26222492605257086,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Low
163,Arkansas,Perry County,3,0,10445,68,0.42238053670486864,1_Very Low,White,Hispanic,Black,Middle Adult,Young Adult,Children,Senior,Low
164,Arkansas,Phillips County,4,1,21757,74,0.24844442732938388,1_Very Low,Black,White,Hispanic,Children,Young Adult,Middle Adult,Senior,Low
165,Arkansas,Pike County,2,0,11291,62,0.2856971438856526,1_Very Low,White,Hispanic,Black,Middle Adult,Young Adult,Children,Senior,Low
166,Arkansas,Poinsett County,10,0,24583,60,0.6779752945802655,1_Very Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Medium
167,Arkansas,Polk County,7,0,20662,60,0.564643629206595,1_Very Low,White,Hispanic,Indian,Middle Adult,Young Adult,Children,Senior,Medium
168,Arkansas,Pope County,35,0,61754,60,0.944608176528376,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,High
169,Arkansas,Prairie County,2,0,8715,73,0.3143690220765646,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Senior,Children,Low
170,Arkansas,Pulaski County,368,12,382748,60,1.6024468666938387,3_Medium,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
171,Arkansas,Randolph County,11,0,17969,64,0.9565084311870443,1_Very Low,White,Hispanic,Hawaii and N/A,Young Adult,Children,Middle Adult,Senior,High
172,Arkansas,St. Francis County,64,0,28258,69,3.282384570330731,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
173,Arkansas,Saline County,41,1,107118,60,0.6379257765579391,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
174,Arkansas,Scott County,1,0,11233,70,0.12717630451094353,1_Very Low,White,Hispanic,Asian,Middle Adult,Young Adult,Children,Senior,Very_Low
175,Arkansas,Searcy County,6,0,8195,60,1.2202562538133008,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,High
176,Arkansas,Sebastian County,11,0,125744,60,0.14579887178182124,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Low
177,Arkansas,Sevier County,8,0,17058,60,0.7816469300816822,1_Very Low,White,Hispanic,Black,Children,Young Adult,Middle Adult,Senior,Medium
178,Arkansas,Sharp County,2,0,17264,73,0.15869590056749652,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Low
179,Arkansas,Stone County,7,0,12394,61,0.9258842856273659,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,High
180,Arkansas,Union County,23,0,41639,60,0.9206112858938336,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,High
181,Arkansas,Van Buren County,26,2,17295,60,2.505541100510745,1_Very Low,White,Hispanic,Indian,Middle Adult,Senior,Young Adult,Children,Very_High
182,Arkansas,Washington County,45,0,203065,56,0.3957212855841374,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Low
183,Arkansas,White County,29,0,77076,61,0.6168065754133242,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Medium
184,Arkansas,Woodruff County,1,0,7260,60,0.2295684113865932,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Low
185,Arkansas,Yell County,2,0,22185,74,0.12182567963501026,1_Very Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Very_Low
186,California,Alameda County,1114,41,1510271,41,1.799063327529766,Very_High,Asian,White,Hispanic,Young Adult,Middle Adult,Children,Senior,High
187,California,Alpine County,2,0,1175,70,2.4316109422492405,1_Very Low,White,Indian,Hispanic,Middle Adult,Senior,Young Adult,Children,Very_High
